License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-PNGX-XKHW,OAKLAND GARDEN LLC,OAKLAND GARDEN LLC,Grower,NOBLE,Cleveland,10/16/2023
GAAA-GK4I-IEA0,Peach Leaf llc,Peach Leaf llc,Grower,STRATFORD,McClain,1/2/2024
GAAA-41EB-HGJY,Elite Growing Company LLC,Elite Growing Company LLC,Grower,TULSA,Tulsa,1/14/2023
DAAA-4KSY-WMN4,Advanced Cannabis Care LLC,Advanced Cannabis Care LLC,Dispensary,Ardmore,Carter,10/17/2023
GAAA-TWTN-BMWO,"Twisted Cannabis, LLC",Twisted Cannabis,Grower,Hanna,McIntosh,10/16/2022
GAAA-PEH7-LCGI,"MNF, LLC",MNF,Grower,STILWELL,Adair,12/19/2023
PAAA-TGZR-2FTV,"MAGNOLIA CITY MIPS, LLC","MAGNOLIA CITY MIPS, LLC",Processor,DURANT,Bryan,6/14/2024
PAAA-8KRR-XDZB,EA INC,Elevated Apothic,Processor,TAHLEQUAH,Cherokee,11/28/2022
PAAA-KEBZ-3LZC,VDW HOLDINGS LLC,VDW HOLDINGS LLC,Processor,TULSA,Creek,8/2/2023
DAAA-35JC-XJQC,KDJ CONSTRUCTION LLC,SHAMPE CANNABIS COMPANY,Dispensary,ANTLERS,Pushmataha,9/12/2023
GAAA-43KX-POQ3,Co2 Science LLC,Co2 Science LLC,Grower,WANETTE,Pottawatomie,3/27/2023
GAAA-M9RL-6YWX,Fretz Farms LLC,Fretz Farms LLC,Grower,EDMOND,Oklahoma,11/22/2023
PAAA-ZLJN-GUYH,DHT VENTURES LLC,de la Beu OIL,Processor,NORMAN,Cleveland,1/1/2023
GAAA-G5MI-NIPL,3D Forty Farms Inc.,3D Forty Farms Inc.,Grower,WILBURTON,Latimer,12/27/2023
PAAA-WWOX-EWLP,Savage Buds LLC,Savage Buds LLC,Processor,OKLAHOMA CITY,Oklahoma,6/21/2023
GAAA-NJUN-ZIFB,788TECHNOLOGIES CORPORATION,Bison and Rose,Grower,GOLDSBY,McClain,10/27/2023
GAAA-PORN-1W7W,Mammoth Jack Acres LLc,Mammoth Jack Acres LLC,Grower,MARLOW,Stephens,3/27/2023
GAAA-HBDT-6NVJ,Lazy J 1985 LLC,Lazy J 1985 LLC,Grower,SPIRO,Le Flore,10/24/2023
DAAA-TAB9-M4UM,LOUD HOUSE CANNABIS LLC,LOUD HOUSE CANNABIS LLC,Dispensary,CALERA,Oklahoma,10/16/2023
GAAA-KQFS-1DMO,"Cheryl Moore, James Moore, and Daniel Reyes Beaver Mt Budz","Cheryl Moore, James Moore, and Daniel Reyes Beaver Mt Budz",Grower,STIGLER,Haskell,12/13/2023
DAAA-4KDO-WGTE,Freedom Leaf LLC,Goldy's Dispensary,Dispensary,DUNCAN,Stephens,5/19/2023
GAAA-VYZH-TAOL,Origins Agriculture LLC,Origins Agriculture,Grower,OKLAHOMA CITY,Oklahoma,10/25/2022
DAAA-VK9M-VSTW,"Herbal Junction Market, LLC",Kind Love,Dispensary,TULSA,Tulsa,4/6/2023
