License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-EJCM-SZZU,"WCW Enterprises, LLC",Lush Kaya Cultivations,Grower,BRISTOW,Creek,11/13/2023
DAAA-VKRC-CXKF,BIG BUDS DISPENSARY INC,Big Buds Natural Releaf II Dispensary,Dispensary,SKIATOOK,Tulsa,12/23/2023
DAAA-5VN0-PCYY,"HWY 17 PHARM, LLC","HWY 17 PHARM, LLC",Dispensary,SALLISAW,Sequoyah,10/25/2023
GAAA-EJAF-LYRR,Green Country MMJ,Green Country MMJ,Grower,WAGONER,Wagoner,7/7/2023
DAAA-FCZL-BTKN,"Health Express 6-T, LLC","Health Express 6-T, LLC",Dispensary,ENID,Garfield,5/11/2023
GAAA-GXCR-L17E,"Gold Leaf Acres, LLC","Gold Leaf Acres, LLC",Grower,CHOUTEAU,Mayes,2/17/2023
DAAA-E1D5-MWOU,THOMAS RAY SMITH,CANNAISSEURS,Dispensary,Hartshorne,Pittsburg,4/6/2024
PAAA-AIPV-DIXF,TURNER LOVE LLC,TURNER LOVE LLC,Processor,BURNEYVILLE,Love,12/27/2023
GAAA-VKIW-O2RF,Curl Creek Cannabis LLC,Curl Creek Cannabis,Grower,NOWATA,Nowata,9/29/2023
GAAA-6NOE-RHGZ,Golden Top Farms LLC,Golden Top Farms LLC,Grower,SPIRO,Le Flore,10/18/2022
PAAA-LYU9-PB2E,Kannagene LLC,Kannagene,Processor,TULSA,Tulsa,6/12/2023
GAAA-VKGS-XX8F,NovaSol LLC,Fifth Leaf,Grower,OKLAHOMA CITY,Oklahoma,6/19/2024
GAAA-DOME-SLVG,FOSHEE FARMACEUTICALS,FOSHEE FARMACEUTICALS,Grower,NORMAN,Cleveland,12/20/2023
GAAA-IISM-ID6J,"Loud Factory, LLC","Loud Factory, LLC",Grower,STRATFORD,Garvin,2/1/2023
DAAA-KQRO-QHT2,SB Mayfair LLC,Star Buds Mayfair,Dispensary,OKLAHOMA CITY,Oklahoma,10/20/2022
GAAA-VDJ2-AIAZ,Modern Medicine Grow LLC,Modern Medicine Grow LLC,Grower,OKLAHOMA CITY,Oklahoma,5/31/2023
GAAA-VJPA-KNSM,"301 Natural Organics, LLC",301 Natural Organics,Grower,Claremore,Rogers,10/17/2023
PAAA-XSY1-ZROU,"The Medical Joint Dispensary, LLC","The Medical Joint Dispensary, LLC",Processor,Broken Bow,McCurtain,11/8/2023
DAAA-XE92-HYEC,"Dynamic Meds OKC, LLC",Dynamic Meds,Dispensary,OKLAHOMA CITY,Oklahoma,1/9/2024
GAAA-KQEG-XSEB,"CRE, LLC",The Hive Collective Cultivation,Grower,OKLAHOMA CITY,Oklahoma,11/28/2023
GAAA-VYBR-OBNK,"Red Earth Herbals, L.L.C.",Red Earth Herbals,Grower,Gotebo,Kiowa,11/29/2023
DAAA-5NF6-QJ4F,"GOLDEN NEKTOR, LLC",GOLDEN NEKTOR,Dispensary,Texhoma,Texas,1/1/2024
GAAA-9SNF-FDI4,LYFARM LLC,LYFARM LLC,Grower,NOBLE,Cleveland,8/30/2023
GAAA-SWPU-DQ1P,"Lundy Farms, LLC","Lundy Farms, LLC GROW",Grower,MUSKOGEE,Muskogee,10/13/2023
GAAA-4YP1-NEMY,"The True Heads Cannabis Cultivation, LLC","The True Heads Cannabis Cultivation, LLC",Grower,MUSKOGEE,Muskogee,10/18/2023
DAAA-SQLZ-RQQ7,Green Times Enterprises Inc,Healing Plants,Dispensary,LEBANON,Marshall,1/10/2024
GAAA-IEB9-G2GI,Burnin Daylight Farms Incorporated,Burnin Daylight Farms Incorporated,Grower,NORMAN,Cleveland,12/20/2023
DAAA-EJ6K-39DH,Pasolindo LLC,Evergreen Cannabis Collective,Dispensary,Oklahoma City,Oklahoma,8/7/2023
GAAA-VYQF-4NZ8,Beaver's Bud Farm,Beaver's Bud Farm,Grower,ASHER,Pottawatomie,12/8/2022
GAAA-KHPD-TKMT,Directseed Distribution LLC,Highlander Herb,Grower,Norman,Cleveland,9/26/2023
DAAA-EXGQ-THXW,J-BAP Industry LLC,B-B Dispensary,Dispensary,MOORE,Cleveland,1/11/2024
DAAA-EYHY-RZFY,Mister Mary Jane LLC,Mister Mary Jane,Dispensary,DUNCAN,Stephens,9/29/2023
DAAA-4YKZ-SHBW,Bo and Ja Trucking Corp,The Wild Wood Weed,Dispensary,OKLAHOMA CITY,Oklahoma,2/28/2023
DAAA-41NI-4FPS,Mainstreet 420 Shop,Mainstreet 420 Shop,Dispensary,Binger,Caddo,5/23/2023
GAAA-ZFNI-HXTW,TKH Growers,TKH Growers,Grower,BOKOSHE,Le Flore,2/1/2023
GAAA-8YZK-ODL9,CannaBaxter Farms LLC,CannaBaxter Farms LLC,Grower,PRAGUE,Pottawatomie,10/16/2023
DAAA-44MU-XJRF,Hardee Pharms LLC,Hardee Pharms LLC,Dispensary,CALUMET,Canadian,3/31/2024
GAAA-FD8L-HRDB,MR. BUDS L.L.C.,MR. BUDS L.L.C.,Grower,ANTLERS,Pushmataha,9/26/2023
GAAA-XLLM-X7BK,Red Starz LLC,Red Starz LLC,Grower,ROSE,Delaware,12/25/2023
GAAA-P0QH-ZVAM,"OZMOS 8820 GL, LLC","OZMOS 8820 GL, LLC",Grower,MEAD,Bryan,10/19/2022
GAAA-UC6H-KQRY,"THE SandT CLUB, LLC","THE SandT CLUB, LLC",Grower,MACOMB,Pottawatomie,6/26/2023
GAAA-41DF-FANU,"Texoma Cultivation, LLC","Texoma Cultivation, LLC",Grower,MADILL,Marshall,12/18/2023
DAAA-HAAS-FAKO,Fire Depot Dispensary,Fire Depot Dispensary,Dispensary,OKLAHOMA CITY,Oklahoma,10/20/2023
TAAA-CQQW-IUQP,Resolute Transport LLC,Resolute Transport LLC,Transporter,Hugo,Choctaw,9/21/2023
DAAA-PWXD-5NW5,"MK'S Dispensary #2, LLC","MK'S Dispensary #2, LLC",Dispensary,KINGSTON,Marshall,1/10/2024
GAAA-DAG8-UBM4,SUPER ANG LLC,Super Ang LLC,Grower,SPIRO,Le Flore,5/16/2023
GAAA-CQAS-ESA2,Kuremen Company LLC,Kuremen Company LLC,Grower,OKMULGEE,Okmulgee,10/5/2022
DAAA-EKXF-XRVF,"Pot Luck Dispensary, LLC","Pot Luck Dispensary, LLC",Dispensary,LAWTON,Comanche,3/13/2024
GAAA-SPXB-LSZI,CONDEMOR LLC,CONDEMOR LLC,Grower,FOSTER,Stephens,10/19/2023
DAAA-VKK4-QESC,"The Green Tumbleweed, LLC",The Green Tumbleweed,Dispensary,LAWTON,Comanche,10/20/2023
GAAA-LBNE-DJ3U,FERG Farms LLC,Flip Cannabis Company,Grower,DUNCAN,Stephens,5/30/2023
DAAA-WGZP-NGTR,"Mile High Supply, LLC","Mile High Supply, LLC",Dispensary,NOBLE,Cleveland,11/1/2023
DAAA-41ZP-SHYN,"Southern Plains Processing, LLC","Southern Plains Processing, LLC",Dispensary,APACHE,Caddo,12/11/2022
DAAA-G0FY-INCY,"The Station Cannabis Company, LLP","The Station Cannabis Company, LLP",Dispensary,RED OAK,Latimer,10/20/2023
DAAA-ARU5-CVDO,Smoky Dreams,Smoky Dreams,Dispensary,GROVE,Delaware,2/1/2023
GAAA-4K7T-M9Q3,Rising Altitude LLC,Craft Cannabis Company,Grower,OKLAHOMA CITY,Oklahoma,12/12/2023
DAAA-VYAX-5NNV,"Oklahoma Native Roots Health and Wellness, LLC","Oklahoma Native Roots Health and Wellness, LLC",Dispensary,DUNCAN,Stephens,1/9/2024
GAAA-7JOC-SNMN,"CaliYield Farms, LLC","CaliYield Farms, LLC",Grower,MOORE,Cleveland,11/10/2023
GAAA-NUXY-CHKH,"Tranquilo Enterprises, LLC","Tranquilo Enterprises, LLC",Grower,TULSA,Tulsa,7/25/2023
DAAA-4JHK-XHKP,Vice Capital Dispensary LLC,Lotus Gold,Dispensary,OKLAHOMA CITY,Oklahoma,12/27/2023
DAAA-4YD1-QVUT,The Greenwood Cure Inc,The Greenwood Cure Inc,Dispensary,TULSA,Tulsa,2/7/2024
GAAA-VJ0M-8ASU,"L. Farms Operations, LLC",L. Farms Operations,Grower,SENTINEL,Washita,7/17/2023
GAAA-PFU0-2KKE,"OTOC GROUP, LLC","OTOC GROUP, LLC",Grower,Checotah,McIntosh,12/11/2023
PAAA-E132-PGD7,"D9 Processing, LLC","D9 Processing, LLC",Processor,TULSA,Tulsa,1/13/2024
DAAA-EJNZ-2COE,"3 Leafs Dispensary, LLC","3 Leafs Dispensary, LLC",Dispensary,TULSA,Tulsa,3/27/2023
WAAA-VYYU-I4KQ,Green Leaf Waste LLC,Green Leaf Waste,Waste Disposal Facility,Oklahoma City,Oklahoma,3/22/2023
PAAA-BWN1-MKNR,Ouchie Edibles Llc,Ouchie Edibles Llc,Processor,Boynton,Muskogee,11/13/2023
GAAA-41M2-VTRE,Goody's Greens LLC,Goody's Greens LLC,Grower,NEWALLA,Cleveland,12/15/2022
GAAA-4Y9A-ZPOT,4T PHARMA LLC,4T PHARMA LLC,Grower,GLENPOOL,Tulsa,7/26/2023
GAAA-39IB-KAHY,"QuocThanh, LLC","QuocThanh, LLC",Grower,Holdenville,Hughes,10/24/2023
GAAA-41RW-BBYL,Stars and Stripes Grow LLC,Stars and Stripes Grow LLC,Grower,NOBLE,Cleveland,11/6/2023
GAAA-I9VK-XYXW,REFA LLC,REFA LLC,Grower,Mooreland,Woodward,11/22/2022
GAAA-4K7D-EGDU,"Grassman Growers, LLC","Grassman Growers, LLC",Grower,MARIETTA,Love,9/25/2023
GAAA-PDUB-3CYJ,High Horse Organics LLC,High Horse Organics LLC,Grower,BLANCHARD,Grady,11/14/2023
GAAA-4JML-ZNMV,"So Fresh and So Green, LLC","So Fresh and So Green, LLC",Grower,NEWCASTLE,McClain,11/21/2023
GAAA-KGBM-FQWI,LDP GREEN IMPORTS LLC,LDP Green Imports LLC,Grower,HOBART,Kiowa,8/24/2023
DAAA-KVX4-HJOG,DOK CORPORATION,DANK CANNABIS DISPENSARY,Dispensary,BRISTOW,Creek,12/6/2023
GAAA-1MKH-P3XF,Helios Gardens LLC,Shano Weedness,Grower,TAHLEQUAH,Cherokee,2/13/2024
GAAA-UEGA-I2YR,Red Sun LLC,Red Sun LLC,Grower,Clinton,Custer,6/19/2023
GAAA-XDD5-58BC,"DP Buds, LLC","DP Buds, LLC",Grower,Fort Gibson,Muskogee,2/8/2024
DAAA-XLVV-AOEQ,Green medical patients LLC,Greendoctor420,Dispensary,OKLAHOMA CITY,Cleveland,11/10/2023
DAAA-BH3E-9X0L,"J-J Weed Company, LLC",The Reefer Shack,Dispensary,SEMINOLE,Seminole,10/30/2023
DAAA-VJNL-SLFW,Smart Stop LLC,Smart Stop LLC,Dispensary,WEWOKA,Seminole,2/27/2023
DAAA-KNV0-EI2B,Rough Country Cannabis,Rough Country Cannabis,Dispensary,Durant,Bryan,10/2/2023
GAAA-EYZM-OI9L,"True Heights Cultivation Holdings, LLC","True Heights Cultivation Holdings, LLC",Grower,Oklahoma City,Oklahoma,3/23/2024
GAAA-XI9M-HEVO,"Golden Grams, LLC","Golden Grams, LLC",Grower,ADA,Pontotoc,12/12/2022
GAAA-FKCF-SVRP,479 Grow LLC,479 Grow LLC,Grower,ANADARKO,Caddo,10/25/2023
GAAA-QTUP-Y7LU,Old Mill Grow LLC,Old Mill Grow,Grower,Hollis,Harmon,7/31/2023
DAAA-UZUV-KVSE,"PAIN FREE BUDS RX, LLC",PAIN FREE BUDS,Dispensary,PURCELL,McClain,11/27/2022
GAAA-4KJY-BVUP,"GFAW, Inc.",Gas Factory,Grower,SHARON,Woodward,11/20/2023
DAAA-V1OQ-I54K,B and B Alternatives LLC,The Remedy,Dispensary,DURANT,Bryan,1/9/2024
GAAA-WP2B-PBVD,"SANDY RIVER NURSERY, LLC","SANDY RIVER NURSERY, LLC",Grower,COLBERT,Bryan,11/22/2023
DAAA-4KRM-DKJ1,"Emerald Group, Inc.",The Healing Club,Dispensary,OKLAHOMA CITY,Oklahoma,10/4/2023
GAAA-9PJS-NUYS,DIVA PLANTATION LLC,DIVA PLANTATION LLC,Grower,NOBLE,Cleveland,5/30/2024
DAAA-TYLZ-TRCZ,Angel Farmhouse LLC,TNT Cannabis Group,Dispensary,OKLAHOMA CITY,Oklahoma,10/3/2023
GAAA-V1M0-C821,Mr. Bee's Farm's LLC,Mr. Bee's Farm's,Grower,CADDO,Atoka,3/14/2024
DAAA-N1WL-B1AY,"THC The Healing Clinic, LLC","THC The Healing Clinic, LLC",Dispensary,Medicine Park,Comanche,9/30/2023
GAAA-E1X3-VHA2,BBCS Farms LLC,BBCS Farms,Grower,BARTLESVILLE,Washington,11/15/2023
DAAA-ZECW-JEGY,PLNT46 LLC,Native Brothers Dispensary on Santa Fe,Dispensary,EDMOND,Oklahoma,10/19/2022
GAAA-HEB6-UCHN,Exclusive Organics LLC,Exclusive Organics LLC,Grower,Elmore City,Garvin,9/25/2023
GAAA-RUT5-0GMF,HAO MAI LLC,HAO MAI LLC,Grower,ARDMORE,Carter,5/30/2023
DAAA-NKXZ-IZZ0,Viva Sativa L.L.P.,Viva Sativa L.L.P.,Dispensary,Talihina,Le Flore,3/7/2024
GAAA-9BI8-WIH6,"YASAA, LLC","YASAA, LLC",Grower,PADEN,Okfuskee,2/1/2024
GAAA-1NNP-NATL,STKC 4 LLC,STKC 4 LLC,Grower,COLCORD,Delaware,9/13/2023
GAAA-MF78-4R2G,"TERPENE GARDEN, LLC",TERPENE GARDEN,Grower,WELLSTON,Lincoln,9/15/2023
GAAA-4YA1-UVC0,Turner Clary Holdings LLC,Turner Roots,Grower,OKLAHOMA CITY,Oklahoma,6/21/2023
DAAA-NYUI-NCNJ,The Two Romans Garden LLC,State Line Dispensary of Roland,Dispensary,ROLAND,Sequoyah,12/10/2023
PAAA-GKL6-5RDJ,"C & A Services, LLC","C & A Services, LLC",Processor,HOMINY,Osage,6/13/2023
GAAA-41TJ-68NY,Roycellen Nunley,Dancing Leaf Company,Grower,WAYNE,McClain,2/7/2024
DAAA-EKX6-CTSR,"Emerald Cross, LLC",Native Grass Dispensary,Dispensary,MUSKOGEE,Muskogee,2/17/2023
GAAA-JNZH-FSUR,"Green Method, LLC","Green Method, LLC",Grower,Tulsa,Tulsa,11/14/2023
GAAA-VYYS-RRRD,Grand Medical LLC,Grand Medical LLC,Grower,BEGGS,Okmulgee,2/1/2023
GAAA-FO0J-5KT9,PharmaFlower Group Inc,PharmaFlower Group Inc,Grower,FAIRFAX,Osage,11/24/2023
GAAA-SQG2-KACC,"DR PAUL'S MEDICAL HERBS, LLC","DR PAUL'S MEDICAL HERBS, LLC",Grower,TEMPLE,Cotton,8/3/2023
PAAA-VJME-7GGA,"Evo Distribution Company, LLC","Evo Distribution Company, LLC",Processor,BROKEN ARROW,Tulsa,12/14/2023
DAAA-4JBP-8NGW,Peaceful ReLeaf LLC,Peaceful ReLeaf LLC,Dispensary,TULSA,Tulsa,12/25/2023
DAAA-YOWH-U4J2,Higher LLC,Higher LLC,Dispensary,Woodward,Woodward,10/25/2023
GAAA-L2MM-BGLV,Miracle Cannabis LLC,Miracle Cannabis Farm,Grower,muskogee,Muskogee,9/21/2023
GAAA-4YAF-NNKM,Master Cannabis Growers LLC,Master Cannabis Growers,Grower,BOSWELL,Atoka,5/10/2023
DAAA-FULS-S8EF,The House of Chronic LLC,The House of Chronic LLC,Dispensary,Del City,Oklahoma,8/24/2023
DAAA-NYPB-NOFT,Good Vibes Dispensary LLC,Good Vibes Dispensary,Dispensary,STILWELL,Adair,12/25/2023
DAAA-V1SN-BQ8I,State Line Dispensary LLC,State Line Dispensary of West Siloam Springs,Dispensary,Colcord,Delaware,9/12/2023
GAAA-SAUQ-LMKK,Bowery Green LLC,Bowery Green LLC,Grower,TULSA,Tulsa,12/21/2023
GAAA-PQRY-OLLN,Alliance Venture Farm LLC,Alliance Venture Farm LLC,Grower,PRAGUE,Lincoln,3/29/2024
GAAA-RQF8-XHVX,THE SAENZ CLINIC LLC,THE SAENZ CLINIC LLC,Grower,Guymon,Texas,12/7/2023
GAAA-VKSW-GVAD,Root 66 Grass Station llc,Root 66 Grass Station llc,Grower,CATOOSA,Tulsa,12/10/2023
DAAA-TDXG-SXCC,Pristine and Green LLC,Pristine and Green LLC,Dispensary,PRAGUE,Pottawatomie,12/20/2023
DAAA-IEYD-5IMO,Platinum budz LLC,Groovy budz,Dispensary,MOORE,Cleveland,10/2/2023
DAAA-IUXC-L0XZ,"AG and KP Enterprises, L.L.C.",The Green Mile II,Dispensary,DEL CITY,Oklahoma,1/12/2024
DAAA-T3MO-4QZS,KOLI CANNABIS LTD,KOLI CANNABIS-MIAMI,Dispensary,MIAMI,Ottawa,7/5/2024
GAAA-NJ2N-GTE5,No Limit Investments LLC,No Limit Garden,Grower,NOBLE,Cleveland,8/30/2023
DAAA-NKT8-E6NU,RELEAF DISPENSARY LLC,RELEAF DISPENSARY LLC,Dispensary,DEL CITY,Oklahoma,9/27/2023
DAAA-UHTR-OA1R,"Big Ass Buds, LLC",Exotic Stash Dispensary,Dispensary,Newcastle,McClain,9/14/2023
GAAA-MFG9-TJYY,ARK Farms LLC,ARK Farms LLC,Grower,STILWELL,Adair,9/20/2023
GAAA-PF3O-EFFW,"D and W River View Greenery, LLC","D and W River View Greenery, LLC",Grower,PAWNEE,Pawnee,10/2/2023
GAAA-VYM2-NGIO,Showdown Enterprises LLC,ALTVM,Grower,EDMOND,Oklahoma,5/12/2023
GAAA-VJPI-RAL2,Royce Industries LLc,greenflame factory,Grower,MULDROW,Sequoyah,8/22/2023
DAAA-E17G-IGDX,"JIM'S RED BARN, LLC",ZAFRA 420 DISPENSARY,Dispensary,SMITHVILLE,Le Flore,11/17/2023
DAAA-EKYN-VDOL,Puff Puff Pass Dispensary LLC,Puff Puff Pass Dispensary LLC,Dispensary,POTEAU,Le Flore,8/8/2023
GAAA-4KEY-R5B4,"Darryl's Ole Koots Cannabis, LLC","Darryl's Ole Koots Cannabis, LLC",Grower,McAlester,Pittsburg,12/14/2022
GAAA-WRPU-AFNM,Cannabis Connoisseurs Enterprises. LLC,Cannabis Connoisseurs Enterprises,Grower,Edmond,Logan,6/13/2023
DAAA-4JBG-TECD,Altcare 12 LLC,Fire Leaf 12,Dispensary,OKLAHOMA CITY,Oklahoma,5/3/2024
TAAA-WQ7R-IDKX,Grow Flow Solutions LLC,Grow Flow Sulutions LLC,Transporter,KINGSTON,Marshall,10/2/2023
GAAA-XLAU-1SQN,Michael Cooke,C3 Medical,Grower,Okarche,Canadian,7/31/2023
GAAA-4DMU-BOTZ,"OKLAHOMA GREEN CLOVER, LLC",OKLAHOMA GREEN CLOVER,Grower,MARIETTA,Love,10/20/2023
DAAA-Q6AR-XCUB,Rolling Stone Laverne Dispensary LLC,Rolling Stoned Laverne,Dispensary,Laverne,Harper,1/1/2024
GAAA-AQJK-EQHH,Houa Farm LLC,Houa Farm,Grower,Claremore,Rogers,11/2/2023
GAAA-EJIG-SY8D,Zukerman Farms LLC,Zukerman Farms LLC,Grower,GERONIMO,Comanche,11/13/2023
DAAA-JTJY-CA3H,GOODIES SMOKEY GREEN LLC,GOODIES GANJA EXPRESS,Dispensary,OKLAHOMA CITY,Oklahoma,12/5/2023
PAAA-TRKM-AC3I,Good Green Co. LLC,Crimson and Gold Processing,Processor,Wynnewood,Garvin,10/31/2023
GAAA-AKDY-QTQZ,"PTK Power, LLC","PTK Power, LLC",Grower,VIAN,Sequoyah,4/25/2024
PAAA-5KIN-O2G3,"Back 40 Investments, LLC",REDBILLY BRAND,Processor,Westville,Adair,10/20/2023
DAAA-P7A2-4N4S,Wendell Michael Murphree,Bud Barn Discount Dispensary,Dispensary,DURANT,Bryan,1/10/2023
GAAA-VYDH-NT52,Gold Mesa LLC,Gold Mesa LLC,Grower,JONES,Oklahoma,12/22/2023
GAAA-PQIF-WYKX,Gadsen Growers LLC,Gadsen Growers LLC,Grower,BRAGGS,Muskogee,10/18/2023
GAAA-N17O-VYPV,Integra Medicinals LLC,Integra Medicinals,Grower,Talala,Rogers,1/12/2024
GAAA-MJNL-Q5OW,Sweet Glea's Farms LLC,Sweet Glea's Farms LLC,Grower,CORDELL,Washita,10/5/2023
PAAA-ECB6-U9C0,"Cajun Hash Company, LLC",Cajun Hash Company,Processor,Durant,Bryan,11/15/2022
DAAA-E1CJ-WZBW,CJ'S DISPENSARY LLC,CJ'S DISPENSARY LLC,Dispensary,TISHOMINGO,Johnston,3/29/2024
GAAA-YU3T-8JF5,Imperial Green Genetics Club LLC,Imperial Green Genetics Club LLC,Grower,CRESCENT,Logan,10/18/2023
GAAA-4KR9-PIFF,"NATURAL HARVEST FARMS, LLC","NATURAL HARVEST FARMS, LLC",Grower,SALLISAW,Sequoyah,11/1/2023
GAAA-X8OB-ULYX,Best Love Farm LLC,Best Love Farm LLC,Grower,BURNEYVILLE,Love,1/12/2024
PAAA-3MKO-TRG9,"Konza Oklahoma Processors, LLC","Konza Oklahoma Processors, LLC",Processor,Guthrie,Logan,10/25/2022
GAAA-RDGS-LNGZ,YaYa Verde LLC,YaYa Verde,Grower,COLCORD,Delaware,12/16/2023
DAAA-EJAO-WHGM,F5 MED LLC,Seed Cannabis Co.,Dispensary,Tulsa,Tulsa,5/24/2024
PAAA-9SIC-ICHS,Lokol Smokehouse (LLC),Bigfoot Mountain,Processor,Wagoner,Wagoner,11/28/2023
GAAA-1676-I6AM,Pace Growers LLC,Pace Growers LLC,Grower,WAURIKA,Stephens,8/31/2023
DAAA-VJNC-UVFP,"Mary Jane Dispensary, LLC",Mary Jane Dispensary,Dispensary,MOORE,Cleveland,3/3/2024
DAAA-R5E2-IWE3,Turtleponics LLC,Elemental Progress,Dispensary,YUKON,Canadian,9/19/2023
GAAA-U9M9-DYOA,Advanced Cultivations LLC,Advanced Cultivations LLC,Grower,WOODWARD,Woodward,10/24/2023
GAAA-SVGH-GUTT,"Kanapa Farms, LLC",Medica Farms,Grower,CALERA,Bryan,5/17/2023
GAAA-KGDC-OGCL,PLANET405 LLC,PLANET405 LLC,Grower,NOBLE,Cleveland,9/15/2023
GAAA-FEII-PGTH,"GREENHOUSE FX, LLC","GREENHOUSE FX, LLC",Grower,NOBLE,Cleveland,2/23/2024
GAAA-EYGU-IW4F,Justin Cowdin,Justin Cowdin,Grower,NORMAN,Cleveland,5/22/2023
GAAA-NYDS-Q4X7,Skunk Land LLC,Skunk Land LLC,Grower,Oklahoma City,Cleveland,11/10/2023
GAAA-QLKW-FMPY,"Lettuce Smoke, LLC",Lettuce Smoke,Grower,CHOCTAW,Oklahoma,8/1/2023
DAAA-EJDC-BIR8,Crystal Cannivore LLC,Crystal Cannivore,Dispensary,PAWHUSKA,Osage,10/25/2023
GAAA-EKFG-BEFT,"58 CUZCOXIONS, LLC.","58 CUZCOXIONS, LLC.",Grower,JAY,Delaware,1/1/2024
PAAA-LDKU-9QVK,The High Roller LLC,LUCKY ROLLERS,Processor,Catoosa,Wagoner,10/25/2023
GAAA-93YO-23AK,Lucky Snake Cultivation LLC,Lucky Snake Cultivation,Grower,EARLSBORO,Seminole,10/27/2023
GAAA-1MVK-9G15,H2He LLC,H2He Farms,Grower,OKLAHOMA CITY,Oklahoma,6/15/2023
GAAA-EKW2-SJRX,Mothership Grow Labs LLC,Mothership Grow Labs LLC,Grower,NOBLE,Cleveland,9/20/2023
GAAA-ZDE0-NVRX,"Cannagenix, LLC",Cannagenix,Grower,CHICKASHA,Grady,11/28/2023
GAAA-XOUD-NC9U,PETAL LUXE LLC,PETAL LUXE LLC,Grower,LEXINGTON,Cleveland,8/14/2023
GAAA-EMAH-IKHP,"Moua's Herbal Farms, LLC","Moua's Herbal Farms, LLC",Grower,CHELSEA,Craig,12/8/2023
GAAA-BVAE-YGTW,JPT Farm LLC,JPT Farm LLC,Grower,LOCUST GROVE,Cherokee,3/24/2024
GAAA-RE9U-QX8W,Good Day Cannabis,Good Day Cannabis,Grower,BLANCHARD,Grady,12/11/2022
DAAA-S4QE-25QE,Nature's Cure Dispensary lll LLC,Nature's Cure Dispensary lll LLC,Dispensary,Edmond,Oklahoma,3/1/2023
GAAA-QJ7M-OXCH,Robin's Egg Ranch LLC,Robin's Egg Ranch LLC,Grower,Valliant,McCurtain,9/15/2022
DAAA-4JK0-LLS7,918 ROOTS LLC,918 ROOTS,Dispensary,MUSKOGEE,Muskogee,5/16/2023
DAAA-NYQV-JUNQ,Michael Dwain Cook,The Green Herb Cannabis Depot,Dispensary,PONCA CITY,Kay,12/11/2023
DAAA-NJ3G-QDZR,"FS1113, LLC",Capital Dank Shawnee,Dispensary,SHAWNEE,Pottawatomie,1/9/2024
GAAA-VB73-UQCP,DAKA DEVELOPMENT LLC,DAKA DEVELOPMENT,Grower,BOYNTON,Muskogee,8/4/2023
GAAA-ZWFP-RAWW,Domegrown LLC,Domegrown LLC,Grower,YUKON,Canadian,11/15/2023
DAAA-4JRX-HCGD,American Dispensary LLP,American Dispensary LLP,Dispensary,Cleveland,Pawnee,8/4/2023
DAAA-W3SN-WU0Y,"Greenhouse Partners, LLC","Greenhouse Partners, LLC",Dispensary,OKLAHOMA CITY,Oklahoma,12/14/2023
PAAA-MIHK-U3UN,"Alice's Restaurant, LLC",Two Twisted Girls,Processor,Corn,Washita,11/14/2023
PAAA-J8YH-LPEP,"S&M's Dope Processing, LLC",Dope Brothers,Processor,ENID,Garfield,6/20/2023
GAAA-FTIJ-IQWO,Golden green paradise LLC,Golden green paradise llc,Grower,locust grove,Mayes,10/31/2023
GAAA-RA6J-NE3F,Native Gold LLC,Native Gold LLC,Grower,HOBART,Kiowa,10/23/2023
GAAA-7UKJ-I5WK,JMC AGRICULTURAL LC,JMC AGRICULTURAL LC,Grower,ELK CITY,Washita,11/24/2023
GAAA-EIM1-I7KF,T & V GROW L.L.C.,T & V GROW L.L.C.,Grower,GUTHRIE,Logan,9/12/2023
GAAA-NJJA-T3OW,"Cannabis Cures, LLC",Cannabis Cures LLC,Grower,Purcell,McClain,2/1/2023
DAAA-ZBFN-R9EO,33 DISPENSARY LLC,33 Dispensary,Dispensary,DRUMRIGHT,Creek,8/8/2023
GAAA-GHZV-LYKK,4T UV ENTERPRISE LLC,4T UV ENTERPRISE LLC,Grower,colbert,Bryan,9/18/2023
GAAA-DYLY-YBYT,4 Horsemen Cannabis Company LLC,4 Horsemen Cannabis Company LLC,Grower,EDMOND,Logan,10/27/2023
PAAA-N1VP-VSZ8,"FLAZOK, LLC","FLAZOK, LLC",Processor,TULSA,Tulsa,2/28/2023
GAAA-58S2-PDLH,Higher Perspective Healings L.L.C.,Higher Perspective Healings,Grower,OKLAHOMA CITY,Oklahoma,12/12/2023
DAAA-X356-CNBQ,NFUZE LLC,NFuze at Shawnee,Dispensary,SHAWNEE,Pottawatomie,1/10/2024
DAAA-K1O4-PMWE,"It's Goe Time, LLC.",Midwest Cures,Dispensary,OKLAHOMA CITY,Oklahoma,3/1/2024
DAAA-EYF3-JROL,"World of Weed 2, LLC","World of Weed 2, LLC",Dispensary,COLLINSVILLE,Tulsa,4/24/2024
DAAA-VYAA-PQOB,"Tulsa Tokes, Inc.",T-Town Medical Marijuana Dispensary,Dispensary,TULSA,Tulsa,2/8/2024
DAAA-4JYG-IUOY,"The Flower Shop Dispensary, LLC","The Flower Shop Dispensary, LLC",Dispensary,TULSA,Tulsa,2/22/2024
DAAA-FNOB-9N78,"Down to Cloud Dispensary, LLC",Down To Cloud,Dispensary,PERRY,Noble,9/27/2023
DAAA-97AV-LNIX,OKIESMOKE.COM DISPENSARY INC,OKIESMOKE.COM DISPENSARY INC,Dispensary,TULSA,Tulsa,10/14/2023
